,,,,,,,
,,,,,,,
,,YTD Year 00,,,,,YTD Year 01
New lauch product,Segment,Values WAP 0 LC,,,New lauch product,Segment,Values WAP 0 LC
,,,,,BRAND 4304,MARKET 18,"258,678,054"
,,,,,BRAND 4305,MARKET 23,"258,419,720"
,,,,,BRAND 4306,MARKET 67,"258,409,889"
,,,,,BRAND 4307,MARKET 10,"258,285,456"
,,,,,BRAND 4308,MARKET 23,"258,039,535"
,,,,,BRAND 4309,MARKET 31,"257,839,674"
,,,,,BRAND 4311,MARKET 27,"257,518,600"
,,,,,BRAND 4312,MARKET 31,"257,344,776"
,,,,,BRAND 4313,MARKET 94,"257,300,263"
,,,,,BRAND 4314,MARKET 09,"257,266,866"
,,,,,BRAND 4315,MARKET 11,"257,216,419"
,,,,,BRAND 4316,MARKET 53,"257,192,910"
,,,,,BRAND 4317,MARKET 75,"257,175,724"
,,,,,BRAND 4318,MARKET 08,"257,161,069"
,,,,,BRAND 4319,MARKET 15,"256,846,441"
,,,,,BRAND 4320,MARKET 23,"256,692,544"
,,,,,BRAND 4321,MARKET 13,"256,672,886"
,,,,,BRAND 4322,MARKET 08,"256,643,462"
,,,,,BRAND 4323,MARKET 15,"256,599,078"
,,,,,BRAND 4324,MARKET 15,"256,396,940"
,,,,,BRAND 4325,MARKET 19,"256,308,925"
,,,,,BRAND 4326,MARKET 137,"256,224,779"
,,,,,BRAND 4327,MARKET 10,"256,200,560"
,,,,,BRAND 4328,MARKET 18,"256,198,041"
,,,,,BRAND 4329,MARKET 10,"256,089,541"
,,,,,BRAND 4330,MARKET 06,"256,022,333"
,,,,,BRAND 4331,MARKET 35,"255,762,887"
,,,,,BRAND 4332,MARKET 15,"255,734,514"
,,,,,BRAND 4333,MARKET 99,"255,672,872"
,,,,,BRAND 4334,MARKET 33,"149,661,026"
,,,,,BRAND 4335,MARKET 30,"105,974,612"
,,,,,BRAND 4336,MARKET 33,"255,476,536"
,,,,,BRAND 4337,MARKET 03,"255,385,284"
,,,,,BRAND 4338,MARKET 42,"255,212,661"
,,,,,BRAND 4339,MARKET 62,"255,186,645"
,,,,,BRAND 4340,MARKET 31,"255,093,696"
,,,,,BRAND 4341,MARKET 27,"255,055,442"
,,,,,BRAND 4342,MARKET 15,"254,783,546"
,,,,,BRAND 4343,MARKET 74,"254,772,900"
,,,,,BRAND 4344,MARKET 103,"254,542,982"
,,,,,BRAND 4345,MARKET 55,"254,492,737"
,,,,,BRAND 4346,MARKET 09,"254,491,872"
,,,,,BRAND 4347,MARKET 32,"254,401,110"
,,,,,BRAND 4348,MARKET 75,"254,397,548"
,,,,,BRAND 4349,MARKET 34,"254,367,867"
,,,,,BRAND 4350,MARKET 102,"254,348,160"
,,,,,BRAND 4351,MARKET 03,"254,256,499"
,,,,,BRAND 4352,MARKET 23,"254,181,693"
,,,,,BRAND 4353,MARKET 181,"253,950,962"
,,,,,BRAND 4354,MARKET 35,"253,891,204"
,,,,,BRAND 4355,MARKET 88,"253,682,584"
,,,,,BRAND 4356,MARKET 09,"253,621,846"
,,,,,BRAND 4357,MARKET 88,"253,485,018"
,,,,,BRAND 4358,MARKET 62,"253,198,728"
,,,,,BRAND 4359,MARKET 03,"253,159,729"
,,,,,BRAND 4360,MARKET 13,"253,149,824"
,,,,,BRAND 4361,MARKET 23,"252,887,718"
,,,,,BRAND 4362,MARKET 61,"252,450,130"
,,,,,BRAND 4363,MARKET 170,"252,225,198"
,,,,,BRAND 4364,MARKET 32,"252,207,690"
,,,,,BRAND 4365,MARKET 31,"252,185,761"
,,,,,BRAND 4366,MARKET 11,"252,164,974"
,,,,,BRAND 4367,MARKET 23,"251,810,075"
,,,,,BRAND 4368,MARKET 15,"251,726,358"
,,,,,BRAND 4369,MARKET 101,"251,726,112"
,,,,,BRAND 4370,MARKET 39,"251,695,767"
,,,,,BRAND 4371,MARKET 181,"251,655,012"
,,,,,BRAND 4372,MARKET 35,"251,433,832"
,,,,,BRAND 4373,MARKET 23,"251,187,712"
,,,,,BRAND 4374,MARKET 03,"251,115,441"
,,,,,BRAND 4375,MARKET 30,"251,067,919"
,,,,,BRAND 4376,MARKET 09,"250,947,200"
,,,,,BRAND 4377,MARKET 15,"250,854,909"
,,,,,BRAND 4378,MARKET 108,"250,807,876"
,,,,,BRAND 4379,MARKET 48,"250,710,048"
,,,,,BRAND 4380,MARKET 96,"250,670,070"
,,,,,BRAND 4381,MARKET 13,"250,101,546"
,,,,,BRAND 4382,MARKET 101,"250,082,901"
,,,,,BRAND 4383,MARKET 31,"250,009,961"
,,,,,BRAND 4384,MARKET 23,"249,991,056"
,,,,,BRAND 4385,MARKET 08,"249,910,082"
,,,,,BRAND 4386,MARKET 73,"249,475,464"
,,,,,BRAND 4387,MARKET 52,"249,150,632"
,,,,,BRAND 4388,MARKET 136,"249,036,018"
,,,,,BRAND 4389,MARKET 17,"249,018,420"
,,,,,BRAND 4390,MARKET 119,"248,989,114"
,,,,,BRAND 4391,MARKET 08,"248,908,299"
,,,,,BRAND 4392,MARKET 15,"248,778,024"
,,,,,BRAND 4393,MARKET 09,"248,739,288"
,,,,,BRAND 4394,MARKET 23,"248,685,145"
,,,,,BRAND 4395,MARKET 39,"248,685,145"
,,,,,BRAND 4396,MARKET 17,"248,401,310"
,,,,,BRAND 4397,MARKET 53,"248,248,968"
,,,,,BRAND 4398,MARKET 103,"247,876,710"
,,,,,BRAND 4399,MARKET 102,"247,824,720"
,,,,,BRAND 4400,MARKET 23,"247,786,408"
,,,,,BRAND 4401,MARKET 39,"247,565,116"
,,,,,BRAND 4402,MARKET 18,"247,450,280"
,,,,,BRAND 4403,MARKET 31,"247,448,358"
,,,,,BRAND 4404,MARKET 17,"247,215,702"
,,,,,BRAND 4405,MARKET 15,"247,211,791"
,,,,,BRAND 4406,MARKET 09,"247,153,464"
,,,,,BRAND 4407,MARKET 106,"247,071,895"
,,,,,BRAND 4408,MARKET 23,"246,812,005"
,,,,,BRAND 4409,MARKET 03,"246,782,336"
,,,,,BRAND 4410,MARKET 11,"246,614,609"
,,,,,BRAND 4411,MARKET 08,"246,434,479"
,,,,,BRAND 4412,MARKET 03,"246,310,680"
,,,,,BRAND 4413,MARKET 23,"246,292,972"
,,,,,BRAND 4414,MARKET 89,"246,071,625"
,,,,,BRAND 4415,MARKET 09,"245,893,172"
,,,,,BRAND 4416,MARKET 09,"245,815,416"
,,,,,BRAND 4417,MARKET 99,"245,814,982"
,,,,,BRAND 4418,MARKET 08,"245,777,411"
,,,,,BRAND 4419,MARKET 89,"245,739,065"
,,,,,BRAND 4420,MARKET 50,"245,714,680"
,,,,,BRAND 4421,MARKET 89,"245,604,868"
,,,,,BRAND 4422,MARKET 223,"245,533,468"
,,,,,BRAND 4423,MARKET 23,"245,527,699"
,,,,,BRAND 4424,MARKET 08,"245,406,851"
,,,,,BRAND 4425,MARKET 08,"245,358,688"
,,,,,BRAND 4426,MARKET 23,"245,272,850"
,,,,,BRAND 4427,MARKET 01,"245,158,844"
,,,,,BRAND 4428,MARKET 53,"245,071,670"
,,,,,BRAND 4429,MARKET 15,"244,984,760"
,,,,,BRAND 4430,MARKET 10,"244,850,142"
,,,,,BRAND 4431,MARKET 16,"244,721,815"
,,,,,BRAND 4432,MARKET 13,"244,527,182"
,,,,,BRAND 4433,MARKET 55,"244,439,388"
,,,,,BRAND 4434,MARKET 09,"244,408,741"
,,,,,BRAND 4435,MARKET 08,"244,397,318"
,,,,,BRAND 4436,MARKET 08,"244,297,893"
,,,,,BRAND 4437,MARKET 17,"244,276,560"
,,,,,BRAND 4438,MARKET 103,"244,159,658"
,,,,,BRAND 4439,MARKET 30,"243,938,610"
,,,,,BRAND 4440,MARKET 160,"243,330,576"
,,,,,BRAND 4441,MARKET 31,"243,258,816"
,,,,,BRAND 4442,MARKET 23,"243,027,465"
,,,,,BRAND 4444,MARKET 42,"242,981,598"
,,,,,BRAND 4445,MARKET 23,"242,832,915"
,,,,,BRAND 4446,MARKET 27,"242,825,196"
,,,,,BRAND 4447,MARKET 194,"242,816,972"
,,,,,BRAND 4448,MARKET 70,"242,760,739"
,,,,,BRAND 4449,MARKET 23,"242,718,790"
,,,,,BRAND 4450,MARKET 52,"242,588,205"
,,,,,BRAND 4451,MARKET 156,"242,586,406"
,,,,,BRAND 4452,MARKET 89,"241,928,671"
,,,,,BRAND 4453,MARKET 31,"241,874,501"
,,,,,BRAND 4454,MARKET 11,"241,781,430"
,,,,,BRAND 4455,MARKET 33,"241,664,778"
,,,,,BRAND 4456,MARKET 52,"241,615,397"
,,,,,BRAND 4457,MARKET 67,"241,296,897"
,,,,,BRAND 4458,MARKET 53,"241,250,400"
,,,,,BRAND 4459,MARKET 67,"241,140,393"
,,,,,BRAND 4460,MARKET 73,"241,116,361"
,,,,,BRAND 4461,MARKET 76,"241,017,950"
,,,,,BRAND 4462,MARKET 194,"240,744,948"
,,,,,BRAND 4463,MARKET 100,"240,262,142"
,,,,,BRAND 4464,MARKET 17,"240,150,969"
,,,,,BRAND 4465,MARKET 100,"240,103,874"
,,,,,BRAND 4466,MARKET 13,"239,999,227"
,,,,,BRAND 4467,MARKET 89,"239,989,346"
,,,,,BRAND 4468,MARKET 35,"239,758,981"
,,,,,BRAND 4469,MARKET 09,"239,636,880"
,,,,,BRAND 4470,MARKET 74,"239,576,820"
,,,,,BRAND 4471,MARKET 17,"239,451,977"
,,,,,BRAND 4472,MARKET 09,"239,386,859"
,,,,,BRAND 4473,MARKET 53,"239,358,172"
,,,,,BRAND 4474,MARKET 13,"239,293,639"
,,,,,BRAND 4475,MARKET 32,"239,290,280"
,,,,,BRAND 4476,MARKET 176,"239,196,674"
,,,,,BRAND 4477,MARKET 11,"238,870,560"
,,,,,BRAND 4478,MARKET 15,"238,773,276"
,,,,,BRAND 4479,MARKET 128,"238,540,075"
,,,,,BRAND 4480,MARKET 18,"238,510,244"
,,,,,BRAND 4481,MARKET 96,"238,412,160"
,,,,,BRAND 4482,MARKET 106,"238,326,336"
,,,,,BRAND 4483,MARKET 26,"238,321,433"
,,,,,BRAND 4484,MARKET 03,"238,282,857"
,,,,,BRAND 4485,MARKET 37,"238,186,390"
,,,,,BRAND 4486,MARKET 31,"238,169,543"
,,,,,BRAND 4487,MARKET 128,"238,114,446"
,,,,,BRAND 4488,MARKET 15,"238,098,861"
,,,,,BRAND 4489,MARKET 74,"237,946,895"
,,,,,BRAND 4490,MARKET 10,"237,883,815"
,,,,,BRAND 4491,MARKET 23,"237,875,702"
,,,,,BRAND 4492,MARKET 13,"237,744,605"
,,,,,BRAND 4493,MARKET 17,"237,708,509"
,,,,,BRAND 4494,MARKET 09,"237,615,000"
,,,,,BRAND 4495,MARKET 48,"237,120,502"
,,,,,BRAND 4496,MARKET 32,"236,992,297"
,,,,,BRAND 4497,MARKET 39,"236,873,093"
,,,,,BRAND 4498,MARKET 71,"236,510,082"
,,,,,BRAND 4499,MARKET 09,"236,375,478"
,,,,,BRAND 4500,MARKET 31,"236,252,421"
,,,,,BRAND 4501,MARKET 03,"236,208,101"
,,,,,BRAND 4502,MARKET 34,"236,006,110"
,,,,,BRAND 4504,MARKET 59,"235,870,521"
,,,,,BRAND 4505,MARKET 131,"235,741,922"
,,,,,BRAND 4506,MARKET 103,"235,340,651"
,,,,,BRAND 4507,MARKET 90,"235,291,231"
,,,,,BRAND 4508,MARKET 15,"235,251,858"
,,,,,BRAND 4509,MARKET 18,"234,935,959"
,,,,,BRAND 4510,MARKET 42,"234,918,320"
,,,,,BRAND 4511,MARKET 13,"234,824,111"
,,,,,BRAND 4512,MARKET 08,"234,588,676"
,,,,,BRAND 4513,MARKET 33,"234,533,551"
,,,,,BRAND 4514,MARKET 33,"234,488,584"
,,,,,BRAND 4515,MARKET 55,"234,088,676"
,,,,,BRAND 4516,MARKET 06,"234,006,344"
,,,,,BRAND 4517,MARKET 238,"233,932,573"
,,,,,BRAND 4518,MARKET 30,"233,608,504"
,,,,,BRAND 4519,MARKET 03,"233,567,770"
,,,,,BRAND 4520,MARKET 174,"233,432,276"
,,,,,BRAND 4521,MARKET 13,"233,320,507"
,,,,,BRAND 4522,MARKET 08,"233,313,696"
,,,,,BRAND 4523,MARKET 09,"233,230,446"
,,,,,BRAND 4524,MARKET 48,"233,220,448"
,,,,,BRAND 4525,MARKET 133,"232,920,614"
,,,,,BRAND 4526,MARKET 10,"232,869,485"
,,,,,BRAND 4527,MARKET 30,"232,564,908"
,,,,,BRAND 4528,MARKET 17,"232,472,005"
,,,,,BRAND 4529,MARKET 101,"232,414,524"
,,,,,BRAND 4530,MARKET 13,"232,351,599"
,,,,,BRAND 4531,MARKET 33,"232,200,738"
,,,,,BRAND 4532,MARKET 53,"232,050,867"
,,,,,BRAND 4533,MARKET 03,"231,979,748"
,,,,,BRAND 4534,MARKET 27,"231,951,448"
,,,,,BRAND 4535,MARKET 10,"231,905,835"
,,,,,BRAND 4536,MARKET 23,"231,905,273"
,,,,,BRAND 4537,MARKET 72,"231,874,776"
,,,,,BRAND 4538,MARKET 23,"231,821,352"
,,,,,BRAND 4539,MARKET 73,"231,717,823"
,,,,,BRAND 4540,MARKET 11,"231,714,295"
,,,,,BRAND 4541,MARKET 10,"231,683,081"
,,,,,BRAND 4542,MARKET 18,"231,642,471"
,,,,,BRAND 4543,MARKET 10,"231,554,934"
,,,,,BRAND 4544,MARKET 15,"231,530,453"
,,,,,BRAND 4545,MARKET 144,"231,511,108"
,,,,,BRAND 4546,MARKET 75,"231,375,375"
,,,,,BRAND 4547,MARKET 18,"230,944,320"
,,,,,BRAND 4548,MARKET 13,"230,940,320"
,,,,,BRAND 4549,MARKET 15,"230,758,938"
,,,,,BRAND 4550,MARKET 08,"230,712,190"
,,,,,BRAND 4551,MARKET 102,"230,646,129"
,,,,,BRAND 4552,MARKET 156,"230,559,360"
,,,,,BRAND 4554,MARKET 15,"230,482,493"
,,,,,BRAND 4555,MARKET 11,"230,370,683"
,,,,,BRAND 4556,MARKET 03,"165,903,906"
,,,,,BRAND 4557,MARKET 23,"64,420,518"
,,,,,BRAND 4558,MARKET 37,"230,222,511"
,,,,,BRAND 4559,MARKET 100,"230,197,162"
,,,,,BRAND 4560,MARKET 72,"230,173,965"
,,,,,BRAND 4561,MARKET 13,"230,125,875"
,,,,,BRAND 4562,MARKET 23,"230,070,184"
,,,,,BRAND 4563,MARKET 99,"230,065,920"
,,,,,BRAND 4564,MARKET 39,"230,062,920"
,,,,,BRAND 4565,MARKET 62,"229,834,583"
,,,,,BRAND 4566,MARKET 42,"229,757,785"
,,,,,BRAND 4567,MARKET 13,"229,721,119"
,,,,,BRAND 4568,MARKET 26,"229,681,814"
,,,,,BRAND 4569,MARKET 31,"229,611,036"
,,,,,BRAND 4570,MARKET 67,"229,377,849"
,,,,,BRAND 4571,MARKET 13,"229,186,891"
,,,,,BRAND 4572,MARKET 10,"229,155,376"
,,,,,BRAND 4573,MARKET 70,"228,933,446"
,,,,,BRAND 4574,MARKET 103,"228,851,757"
,,,,,BRAND 4575,MARKET 09,"228,797,729"
,,,,,BRAND 4576,MARKET 10,"228,773,294"
,,,,,BRAND 4577,MARKET 15,"228,735,360"
,,,,,BRAND 4578,MARKET 119,"228,557,455"
,,,,,BRAND 4579,MARKET 09,"228,531,202"
,,,,,BRAND 4580,MARKET 89,"228,329,459"
,,,,,BRAND 4581,MARKET 15,"228,250,295"
,,,,,BRAND 4582,MARKET 23,"228,156,761"
,,,,,BRAND 4583,MARKET 30,"228,119,147"
,,,,,BRAND 4584,MARKET 08,"227,908,296"
,,,,,BRAND 4585,MARKET 13,"227,841,806"
,,,,,BRAND 4586,MARKET 53,"227,809,593"
,,,,,BRAND 4587,MARKET 40,"227,751,852"
,,,,,BRAND 4588,MARKET 42,"227,736,193"
,,,,,BRAND 4589,MARKET 79,"227,650,168"
,,,,,BRAND 4590,MARKET 53,"227,486,531"
,,,,,BRAND 4591,MARKET 76,"227,409,214"
,,,,,BRAND 4592,MARKET 09,"227,282,134"
,,,,,BRAND 4593,MARKET 40,"227,233,495"
,,,,,BRAND 4594,MARKET 136,"226,861,492"
,,,,,BRAND 4595,MARKET 08,"226,848,790"
,,,,,BRAND 4596,MARKET 08,"226,621,989"
,,,,,BRAND 4597,MARKET 30,"226,600,858"
,,,,,BRAND 4598,MARKET 08,"226,562,235"
,,,,,BRAND 4599,MARKET 218,"226,478,211"
,,,,,BRAND 4600,MARKET 76,"226,398,078"
,,,,,BRAND 4601,MARKET 133,"226,308,480"
,,,,,BRAND 4602,MARKET 32,"226,257,950"
,,,,,BRAND 4603,MARKET 09,"226,168,242"
,,,,,BRAND 4604,MARKET 35,"226,054,959"
,,,,,BRAND 4605,MARKET 174,"225,757,578"
,,,,,BRAND 4606,MARKET 13,"225,685,980"
,,,,,BRAND 4607,MARKET 46,"225,412,963"
,,,,,BRAND 4608,MARKET 09,"225,412,324"
,,,,,BRAND 4609,MARKET 03,"225,309,067"
,,,,,BRAND 4610,MARKET 33,"225,283,275"
,,,,,BRAND 4611,MARKET 115,"225,262,701"
,,,,,BRAND 4613,MARKET 23,"224,893,220"
,,,,,BRAND 4614,MARKET 15,"224,679,060"
,,,,,BRAND 4615,MARKET 73,"224,634,566"
,,,,,BRAND 4616,MARKET 15,"224,470,014"
,,,,,BRAND 4617,MARKET 55,"224,307,495"
,,,,,BRAND 4618,MARKET 35,"224,199,647"
,,,,,BRAND 4619,MARKET 23,"223,957,475"
,,,,,BRAND 4620,MARKET 11,"223,957,475"
,,,,,BRAND 4621,MARKET 34,"223,937,227"
,,,,,BRAND 4622,MARKET 133,"223,852,932"
,,,,,BRAND 4623,MARKET 42,"223,852,188"
,,,,,BRAND 4624,MARKET 09,"223,786,080"
,,,,,BRAND 4625,MARKET 118,"223,531,449"
,,,,,BRAND 4626,MARKET 30,"223,415,962"
,,,,,BRAND 4627,MARKET 89,"223,377,947"
,,,,,BRAND 4628,MARKET 27,"223,311,600"
,,,,,BRAND 4629,MARKET 15,"223,263,241"
,,,,,BRAND 4630,MARKET 170,"223,109,365"
,,,,,BRAND 4631,MARKET 03,"223,053,854"
,,,,,BRAND 4632,MARKET 23,"222,947,923"
,,,,,BRAND 4633,MARKET 119,"222,870,509"
,,,,,BRAND 4634,MARKET 25,"222,813,878"
,,,,,BRAND 4635,MARKET 11,"222,629,602"
,,,,,BRAND 4636,MARKET 23,"222,565,159"
,,,,,BRAND 4637,MARKET 16,"222,441,660"
,,,,,BRAND 4638,MARKET 23,"222,132,330"
,,,,,BRAND 4639,MARKET 72,"222,015,360"
,,,,,BRAND 4640,MARKET 88,"221,986,020"
,,,,,BRAND 4641,MARKET 23,"221,950,370"
,,,,,BRAND 4642,MARKET 170,"221,800,634"
,,,,,BRAND 4643,MARKET 35,"221,673,031"
,,,,,BRAND 4644,MARKET 10,"221,448,309"
,,,,,BRAND 4645,MARKET 09,"221,254,607"
,,,,,BRAND 4646,MARKET 08,"221,045,706"
,,,,,BRAND 4647,MARKET 75,"220,988,633"
,,,,,BRAND 4648,MARKET 37,"220,961,510"
,,,,,BRAND 4649,MARKET 39,"220,774,400"
,,,,,BRAND 4650,MARKET 119,"220,773,226"
,,,,,BRAND 4651,MARKET 17,"220,544,364"
,,,,,BRAND 4652,MARKET 33,"220,526,812"
,,,,,BRAND 4653,MARKET 70,"220,516,703"
,,,,,BRAND 4654,MARKET 10,"220,469,246"
,,,,,BRAND 4655,MARKET 133,"220,427,640"
,,,,,BRAND 4656,MARKET 10,"220,424,481"
,,,,,BRAND 4657,MARKET 126,"220,389,555"
,,,,,BRAND 4659,MARKET 23,"220,308,515"
,,,,,BRAND 4660,MARKET 73,"220,147,811"
,,,,,BRAND 4661,MARKET 03,"220,049,348"
,,,,,BRAND 4662,MARKET 10,"220,010,979"
,,,,,BRAND 4663,MARKET 15,"219,960,679"
,,,,,BRAND 4664,MARKET 09,"219,577,188"
,,,,,BRAND 4665,MARKET 75,"219,566,915"
,,,,,BRAND 4666,MARKET 18,"219,341,254"
,,,,,BRAND 4667,MARKET 31,"219,251,861"
,,,,,BRAND 4668,MARKET 34,"219,108,630"
,,,,,BRAND 4669,MARKET 35,"218,994,558"
,,,,,BRAND 4670,MARKET 55,"218,872,313"
,,,,,BRAND 4671,MARKET 10,"218,692,904"
,,,,,BRAND 4672,MARKET 09,"218,530,142"
,,,,,BRAND 4673,MARKET 34,"218,476,460"
,,,,,BRAND 4674,MARKET 115,"218,335,639"
,,,,,BRAND 4675,MARKET 27,"218,278,130"
,,,,,BRAND 4676,MARKET 88,"218,207,096"
,,,,,BRAND 4677,MARKET 10,"218,173,341"
,,,,,BRAND 4678,MARKET 23,"217,978,040"
,,,,,BRAND 4679,MARKET 06,"217,853,610"
,,,,,BRAND 4680,MARKET 75,"217,847,408"
,,,,,BRAND 4681,MARKET 72,"217,737,691"
,,,,,BRAND 4682,MARKET 26,"217,645,440"
,,,,,BRAND 4683,MARKET 31,"217,460,189"
,,,,,BRAND 4684,MARKET 09,"217,288,618"
,,,,,BRAND 4685,MARKET 08,"217,261,206"
,,,,,BRAND 4686,MARKET 09,"217,184,744"
,,,,,BRAND 4687,MARKET 100,"217,098,650"
,,,,,BRAND 4689,MARKET 39,"216,901,440"
,,,,,BRAND 4690,MARKET 31,"216,869,775"
,,,,,BRAND 4691,MARKET 32,"216,796,329"
,,,,,BRAND 4692,MARKET 37,"216,744,430"
,,,,,BRAND 4693,MARKET 08,"216,515,160"
,,,,,BRAND 4694,MARKET 52,"216,513,648"
,,,,,BRAND 4695,MARKET 17,"216,478,364"
,,,,,BRAND 4696,MARKET 07,"216,452,883"
,,,,,BRAND 4697,MARKET 173,"216,326,139"
,,,,,BRAND 4698,MARKET 09,"216,247,952"
,,,,,BRAND 4699,MARKET 72,"216,247,952"
,,,,,BRAND 4700,MARKET 32,"216,242,488"
,,,,,BRAND 4701,MARKET 23,"216,117,068"
,,,,,BRAND 4702,MARKET 137,"216,062,918"
,,,,,BRAND 4703,MARKET 90,"216,036,932"
,,,,,BRAND 4704,MARKET 127,"215,887,313"
,,,,,BRAND 4705,MARKET 156,"215,850,060"
,,,,,BRAND 4706,MARKET 88,"215,793,552"
,,,,,BRAND 4707,MARKET 173,"215,699,482"
,,,,,BRAND 4708,MARKET 75,"215,544,474"
,,,,,BRAND 4709,MARKET 30,"215,360,991"
,,,,,BRAND 4710,MARKET 39,"215,333,056"
,,,,,BRAND 4711,MARKET 03,"215,160,542"
,,,,,BRAND 4712,MARKET 31,"214,930,279"
,,,,,BRAND 4713,MARKET 133,"214,820,937"
,,,,,BRAND 4714,MARKET 133,"214,789,395"
,,,,,BRAND 4715,MARKET 06,"214,626,635"
,,,,,BRAND 4716,MARKET 15,"214,458,611"
,,,,,BRAND 4717,MARKET 123,"214,393,910"
,,,,,BRAND 4718,MARKET 15,"214,347,016"
,,,,,BRAND 4719,MARKET 09,"214,347,016"
,,,,,BRAND 4720,MARKET 17,"214,214,000"
,,,,,BRAND 4721,MARKET 88,"214,209,865"
,,,,,BRAND 4722,MARKET 18,"214,179,903"
,,,,,BRAND 4723,MARKET 17,"214,063,982"
,,,,,BRAND 4724,MARKET 35,"213,941,595"
,,,,,BRAND 4725,MARKET 29,"213,887,336"
,,,,,BRAND 4726,MARKET 09,"213,478,463"
,,,,,BRAND 4727,MARKET 13,"213,416,191"
,,,,,BRAND 4728,MARKET 65,"213,389,248"
,,,,,BRAND 4729,MARKET 40,"213,361,359"
,,,,,BRAND 4730,MARKET 101,"213,291,892"
,,,,,BRAND 4731,MARKET 15,"213,252,343"
,,,,,BRAND 4732,MARKET 53,"213,235,260"
,,,,,BRAND 4733,MARKET 93,"213,084,820"
,,,,,BRAND 4734,MARKET 128,"213,002,598"
,,,,,BRAND 4735,MARKET 15,"212,864,532"
,,,,,BRAND 4736,MARKET 88,"212,819,760"
,,,,,BRAND 4737,MARKET 10,"212,386,330"
,,,,,BRAND 4738,MARKET 32,"212,337,551"
,,,,,BRAND 4739,MARKET 10,"212,205,855"
,,,,,BRAND 4740,MARKET 15,"212,169,564"
,,,,,BRAND 4741,MARKET 03,"212,028,939"
,,,,,BRAND 4742,MARKET 15,"212,008,397"
,,,,,BRAND 4743,MARKET 08,"211,924,370"
,,,,,BRAND 4744,MARKET 09,"211,871,462"
,,,,,BRAND 4745,MARKET 123,"211,783,940"
,,,,,BRAND 4747,MARKET 53,"211,552,880"
,,,,,BRAND 4748,MARKET 10,"211,422,456"
,,,,,BRAND 4749,MARKET 26,"211,311,742"
,,,,,BRAND 4750,MARKET 33,"211,301,227"
,,,,,BRAND 4751,MARKET 32,"211,294,923"
,,,,,BRAND 4752,MARKET 08,"211,292,554"
,,,,,BRAND 4753,MARKET 03,"211,236,900"
,,,,,BRAND 4754,MARKET 09,"211,209,600"
,,,,,BRAND 4755,MARKET 09,"211,033,760"
,,,,,BRAND 4756,MARKET 131,"210,993,891"
,,,,,BRAND 4757,MARKET 37,"210,792,369"
,,,,,BRAND 4758,MARKET 100,"210,664,028"
,,,,,BRAND 4759,MARKET 67,"210,500,794"
,,,,,BRAND 4760,MARKET 48,"210,487,253"
,,,,,BRAND 4761,MARKET 35,"210,373,379"
,,,,,BRAND 4762,MARKET 53,"210,240,954"
,,,,,BRAND 4763,MARKET 40,"210,114,744"
,,,,,BRAND 4764,MARKET 124,"210,091,877"
,,,,,BRAND 4765,MARKET 101,"209,769,588"
,,,,,BRAND 4766,MARKET 123,"209,750,446"
,,,,,BRAND 4767,MARKET 126,"209,562,838"
,,,,,BRAND 4768,MARKET 15,"209,528,046"
,,,,,BRAND 4769,MARKET 23,"209,425,795"
,,,,,BRAND 4770,MARKET 133,"209,363,850"
,,,,,BRAND 4771,MARKET 32,"209,166,077"
,,,,,BRAND 4772,MARKET 101,"209,042,316"
,,,,,BRAND 4773,MARKET 100,"209,017,128"
,,,,,BRAND 4774,MARKET 15,"208,734,570"
,,,,,BRAND 4775,MARKET 53,"208,585,067"
,,,,,BRAND 4776,MARKET 11,"208,024,320"
,,,,,BRAND 4777,MARKET 123,"207,983,099"
,,,,,BRAND 4778,MARKET 99,"207,930,969"
,,,,,BRAND 4779,MARKET 110,"207,890,928"
,,,,,BRAND 4780,MARKET 09,"207,862,305"
,,,,,BRAND 4781,MARKET 23,"207,768,768"
,,,,,BRAND 4782,MARKET 52,"207,727,120"
,,,,,BRAND 4783,MARKET 52,"207,617,483"
,,,,,BRAND 4784,MARKET 31,"207,580,856"
,,,,,BRAND 4785,MARKET 75,"207,567,308"
,,,,,BRAND 4787,MARKET 23,"207,192,596"
,,,,,BRAND 4788,MARKET 55,"207,147,391"
,,,,,BRAND 4789,MARKET 09,"207,054,446"
,,,,,BRAND 4790,MARKET 131,"206,917,368"
,,,,,BRAND 4791,MARKET 03,"206,648,785"
,,,,,BRAND 4792,MARKET 112,"206,346,683"
,,,,,BRAND 4793,MARKET 27,"206,208,923"
,,,,,BRAND 4794,MARKET 115,"206,169,622"
,,,,,BRAND 4795,MARKET 33,"206,156,580"
,,,,,BRAND 4796,MARKET 48,"205,813,625"
,,,,,BRAND 4797,MARKET 16,"205,778,417"
,,,,,BRAND 4798,MARKET 11,"205,565,437"
,,,,,BRAND 4799,MARKET 03,"205,551,581"
,,,,,BRAND 4800,MARKET 23,"205,418,168"
,,,,,BRAND 4801,MARKET 23,"205,385,442"
,,,,,BRAND 4802,MARKET 37,"205,286,218"
,,,,,BRAND 4803,MARKET 33,"205,233,226"
,,,,,BRAND 4804,MARKET 89,"205,010,316"
,,,,,BRAND 4805,MARKET 49,"204,724,819"
,,,,,BRAND 4806,MARKET 107,"204,574,044"
,,,,,BRAND 4807,MARKET 93,"204,441,968"
,,,,,BRAND 4808,MARKET 23,"204,106,100"
,,,,,BRAND 4809,MARKET 10,"204,067,011"
