,,,,,,,
,,,,,,,
,,YTD Year 00,,,,,YTD Year 01
New lauch product,Segment,Values WAP 0 LC,,,New lauch product,Segment,Values WAP 0 LC
BRAND 568,MARKET 43,"1,834,656,161",,,BRAND 335,MARKET 13,"6,206,055,079"
BRAND 569,MARKET 15,"1,007,695,713",,,BRAND 337,MARKET 136,"6,180,995,343"
BRAND 574,MARKET 105,"2,311,146,648",,,BRAND 338,MARKET 21,"6,172,525,226"
BRAND 575,MARKET 23,"2,556,511,884",,,BRAND 339,MARKET 09,"6,131,166,452"
BRAND 583,MARKET 42,"1,206,813,797",,,BRAND 341,MARKET 221,"6,100,673,231"
BRAND 584,MARKET 04,"1,924,614,588",,,BRAND 342,MARKET 03,"6,068,540,011"
BRAND 591,MARKET 01,"1,340,851,663",,,BRAND 343,MARKET 32,"6,057,634,121"
BRAND 592,MARKET 08,"2,027,188,051",,,BRAND 344,MARKET 93,"6,049,570,052"
BRAND 593,MARKET 27,"5,493,619,272",,,BRAND 345,MARKET 110,"6,040,937,665"
BRAND 594,MARKET 53,"3,495,962,490",,,BRAND 346,MARKET 134,"6,019,562,632"
BRAND 595,MARKET 112,"4,215,665,105",,,BRAND 347,MARKET 23,"6,018,478,020"
BRAND 613,MARKET 11,"1,313,999,885",,,BRAND 348,MARKET 26,"6,017,267,697"
BRAND 617,MARKET 21,"1,505,344,857",,,BRAND 350,MARKET 10,"5,999,372,993"
BRAND 620,MARKET 103,"1,003,462,488",,,BRAND 351,MARKET 30,"5,966,647,373"
BRAND 629,MARKET 72,"2,451,881,852",,,BRAND 352,MARKET 03,"5,944,256,542"
BRAND 632,MARKET 23,"4,268,647,994",,,BRAND 354,MARKET 11,"5,886,525,994"
BRAND 635,MARKET 106,"1,766,704,675",,,BRAND 356,MARKET 32,"5,878,034,007"
BRAND 636,MARKET 39,"1,783,234,764",,,BRAND 358,MARKET 42,"5,850,245,662"
BRAND 643,MARKET 10,"5,409,999,668",,,BRAND 359,MARKET 23,"5,822,275,930"
BRAND 644,MARKET 164,"1,218,649,911",,,BRAND 360,MARKET 10,"5,804,594,128"
BRAND 645,MARKET 04,"1,687,206,214",,,BRAND 364,MARKET 86,"5,793,522,348"
BRAND 647,MARKET 27,"2,442,817,352",,,BRAND 365,MARKET 88,"5,780,625,453"
BRAND 658,MARKET 09,"3,556,135,913",,,BRAND 368,MARKET 123,"5,738,306,112"
BRAND 663,MARKET 13,"2,880,981,740",,,BRAND 370,MARKET 23,"5,718,636,741"
BRAND 665,MARKET 10,"1,947,607,360",,,BRAND 371,MARKET 110,"5,712,561,323"
BRAND 673,MARKET 115,"2,847,217,182",,,BRAND 372,MARKET 18,"5,707,006,752"
BRAND 679,MARKET 10,"10,423,909,462",,,BRAND 374,MARKET 168,"5,689,854,472"
BRAND 683,MARKET 36,"1,221,372,000",,,BRAND 375,MARKET 27,"5,651,150,733"
BRAND 690,MARKET 06,"1,107,885,562",,,BRAND 376,MARKET 01,"5,633,583,624"
BRAND 701,MARKET 01,"4,459,936,858",,,BRAND 377,MARKET 10,"5,614,062,325"
BRAND 709,MARKET 53,"1,293,482,257",,,BRAND 378,MARKET 168,"5,601,918,446"
BRAND 711,MARKET 149,"3,001,587,336",,,BRAND 379,MARKET 35,"5,571,795,818"
BRAND 714,MARKET 02,"1,089,689,614",,,BRAND 380,MARKET 115,"5,538,793,716"
BRAND 723,MARKET 01,"3,959,973,341",,,BRAND 381,MARKET 23,"5,525,013,913"
BRAND 728,MARKET 65,"1,537,625,121",,,BRAND 382,MARKET 06,"5,505,040,573"
BRAND 729,MARKET 52,"2,387,538,801",,,BRAND 383,MARKET 89,"5,502,571,067"
BRAND 731,MARKET 90,"1,311,954,224",,,BRAND 385,MARKET 112,"5,477,650,941"
BRAND 740,MARKET 149,"3,265,855,964",,,BRAND 386,MARKET 01,"5,459,863,360"
BRAND 742,MARKET 25,"2,391,236,547",,,BRAND 389,MARKET 26,"5,449,260,000"
BRAND 753,MARKET 27,"1,266,197,419",,,BRAND 390,MARKET 21,"5,446,683,500"
BRAND 758,MARKET 06,"1,985,659,308",,,BRAND 391,MARKET 48,"5,444,152,626"
BRAND 763,MARKET 178,"1,337,766,912",,,BRAND 393,MARKET 10,"5,409,112,254"
BRAND 786,MARKET 23,"7,168,363,433",,,BRAND 394,MARKET 72,"5,407,146,150"
BRAND 792,MARKET 93,"1,584,782,498",,,BRAND 396,MARKET 09,"5,382,397,177"
BRAND 796,MARKET 43,"1,109,084,536",,,BRAND 398,MARKET 08,"5,331,529,300"
BRAND 808,MARKET 13,"5,146,975,524",,,BRAND 399,MARKET 02,"5,326,003,852"
BRAND 810,MARKET 01,"14,025,475,179",,,BRAND 400,MARKET 135,"5,290,626,745"
BRAND 815,MARKET 17,"1,038,721,364",,,BRAND 402,MARKET 02,"5,254,194,750"
BRAND 816,MARKET 62,"2,063,284,074",,,BRAND 404,MARKET 27,"5,250,671,059"
BRAND 827,MARKET 08,"2,955,747,278",,,BRAND 405,MARKET 30,"5,243,270,117"
BRAND 846,MARKET 61,"1,361,298,354",,,BRAND 406,MARKET 37,"5,197,809,280"
BRAND 847,MARKET 165,"1,126,310,566",,,BRAND 407,MARKET 18,"5,189,937,912"
BRAND 858,MARKET 73,"1,534,574,910",,,BRAND 408,MARKET 16,"5,167,260,000"
BRAND 859,MARKET 72,"1,164,838,275",,,BRAND 409,MARKET 104,"5,148,091,773"
BRAND 872,MARKET 15,"1,119,393,368",,,BRAND 410,MARKET 09,"5,136,699,624"
BRAND 876,MARKET 09,"3,153,032,492",,,BRAND 411,MARKET 75,"5,130,467,809"
BRAND 880,MARKET 15,"3,539,876,089",,,BRAND 412,MARKET 01,"5,124,598,620"
BRAND 881,MARKET 72,"1,544,375,218",,,BRAND 413,MARKET 94,"5,124,518,472"
BRAND 885,MARKET 133,"1,122,935,403",,,BRAND 415,MARKET 121,"5,086,611,776"
BRAND 887,MARKET 89,"1,406,328,261",,,BRAND 416,MARKET 30,"5,085,321,858"
BRAND 891,MARKET 153,"2,737,593,760",,,BRAND 417,MARKET 157,"5,079,041,554"
BRAND 925,MARKET 75,"1,140,500,586",,,BRAND 418,MARKET 23,"5,069,429,718"
BRAND 929,MARKET 03,"1,827,474,602",,,BRAND 419,MARKET 127,"5,063,718,080"
BRAND 930,MARKET 52,"2,939,068,646",,,BRAND 420,MARKET 13,"5,063,445,187"
BRAND 935,MARKET 09,"1,847,225,953",,,BRAND 422,MARKET 236,"5,047,770,001"
BRAND 953,MARKET 35,"1,045,293,735",,,BRAND 423,MARKET 50,"5,037,927,019"
